route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
17997,DART,505,WEST IRVING STA./ UNV. OF DALLAS,,3,,663399,FFFFFF
17998,DART,506,PARK LANE / STONE CANYON,,3,,663399,FFFFFF
17999,DART,507,IRVING CONV STATION/DOWNTOWN IRVING,,3,,663399,FFFFFF
18000,DART,508,UNIV. OF DALLAS/DOWNTOWN IRVING,,3,,663399,FFFFFF
18001,DART,509,BELTLINE/REGENT,,3,,663399,FFFFFF
18002,DART,510,BELT LINE/URBAN CENTER,,3,,663399,FFFFFF
18003,DART,513,DOWNTOWNGARLAND/FIREWHEEL TOWN CNTR,,3,,663399,FFFFFF
18004,DART,514,WEST IRVING/CARL ROAD/183,,3,,663399,FFFFFF
18005,DART,515,ZOO STATION-SINGING HILLS,,3,,663399,FFFFFF
18006,DART,521,CITYPLACE UPTOWN STA. /NW HWY,,3,,663399,FFFFFF
18007,DART,522,KIEST STATION/METHODIST HOSPITAL,,3,,663399,FFFFFF
18008,DART,524,INWOOD/LOVE FIELD STATION,,3,,663399,FFFFFF
18009,DART,525,PARKLAND STATION-REGAL ROW,,3,,663399,FFFFFF
18010,DART,526,INWOOD/LOVE FIELD STA.-BROOKRIVER,,3,,663399,FFFFFF
18011,DART,527,INWOOD-LOVE FIELD/REGAL ROW,,3,,663399,FFFFFF
18012,DART,528,BACHMAN/URBAN CENTER STA.,,3,,663399,FFFFFF
18013,DART,529,INWOOD/LOVE FIELD-ROYAL LANE STA.,,3,,663399,FFFFFF
18014,DART,531,BAYLOR MEDICAL/FARMERS BRANCH STA.,,3,,663399,FFFFFF
18015,DART,532,ROYAL LN STATION/MIDWAY,,3,,663399,FFFFFF
18016,DART,533,FARMERS BRANCH STATION-LUNA ROAD,,3,,663399,FFFFFF
18017,DART,534,ADDISON/TRINITY MILLS STATON,,3,,663399,FFFFFF
18018,DART,535,BACHMAN/FARMERS BRANCH STA.,,3,,663399,FFFFFF
18019,DART,536,TRINITY MILLS STA./ADDISON,,3,,663399,FFFFFF
18020,DART,538,ILLINOIS STATION-LEDBETTER DR,,3,,663399,FFFFFF
18021,DART,541,CORINTH STATION-FAWN VALLEY,,3,,663399,FFFFFF
18022,DART,542,DAVIS-COCKRELL HILL PTL,,3,,663399,FFFFFF
18023,DART,544,FARMERS BRANCH / PARKLAND STATION,,3,,663399,FFFFFF
18024,DART,547,WESTMORELAND STA/REDBIRD LANE,,3,,663399,FFFFFF
18025,DART,549,DOWNTOW IRVING STA/WESTMORELAND STA,,3,,663399,FFFFFF
18026,DART,551,ARAPAHO STA/LBJ/SKILLMAN STA,,3,,663399,FFFFFF
18027,DART,553,LEDETTER STA-CEDAR VALLEY COLLEGE,,3,,663399,FFFFFF
18028,DART,554,LEDBETTER/BONNIE VIEW/PAUL QUINN,,3,,663399,FFFFFF
18029,DART,560,LBJ SKILLMAN/SOUTH GARLAND STA.,,3,,663399,FFFFFF
18030,DART,566,DOWNTOWN GARLAND/NAAMAN FOREST HS,,3,,663399,FFFFFF
18031,DART,568,BAHAMA-KEENELAND,,3,,663399,FFFFFF
18032,DART,571,SPRING VALLEY/DTN GARLAND STA.,,3,,663399,FFFFFF
18033,DART,574,WOODS SUGARBERRY/WESTMORELAND STA,,3,,663399,FFFFFF
18034,DART,582,LBJ/CENTRAL STA/WALNUT HILL STA,,3,,663399,FFFFFF
18035,DART,583,RICHLAND COLLEGE-LOVERS LANE STA,,3,,663399,FFFFFF
18036,DART,591,BUCKNER STATION - JIM MILLER,,3,,663399,FFFFFF
18037,DART,592,CHEYENNE-LAKE JUNE STATION,,3,,663399,FFFFFF
18038,DART,593,LAWNVIEW STATION-MASTERS,,3,,663399,FFFFFF
18039,DART,594,SPRUCE H S/LAKE JUNE STATION,,3,,663399,FFFFFF
18040,DART,595,PRAIRIE CREEK-MLK STATION,,3,,663399,FFFFFF
18041,DART,597,BUCKNER STATION-MILITARY PKW,,3,,663399,FFFFFF
18042,DART,702,NORTHPARK MALL / PARK LANE STA,,3,,000066,FFFFFF
18043,DART,704,PARKLAND STATION/HARRY HINES,,3,,000066,FFFFFF
18044,DART,705,PARKLAND STA/MEDICAL MARKET STA.,,3,,000066,FFFFFF
18045,DART,722,D-LINK ARTS DISTRICT/BISHOP ARTS,,3,,EC008C,FFFFFF
18046,DART,743,BUSH/ MEADOWS-MOCKINGBIRD STA.,,3,,000066,FFFFFF
18047,DART,768,MUSTANG EXPRESS,,3,,000066,FFFFFF
18052,DART,801,TERMINAL A&C/REMOTE SOUTH,,3,,000066,FFFFFF
18053,DART,802,TERMINAL B&E/REMOTE SOUTH,,3,,000066,FFFFFF
18054,DART,803,CENTREPORT/DFW REMOTE SOUTH,,3,,000066,FFFFFF
18055,DART,804,TERMINAL D/REMOTE PARKING,,3,,000066,FFFFFF
18056,DART,822,UT SOUTHWESTERN SOUTH,,3,,000066,FFFFFF
18057,DART,823,UT SOUTHWESTERN NORTH,,3,,000066,FFFFFF
18058,DART,824,PALISADES E-SHUTTLE,,3,,000066,FFFFFF
18059,DART,M-LINE,MCKINNEY AVENUE TROLLEY,,5,,000066,FFFFFF
18060,DART,826,TI SHUTTLE- MAIN CAMPUS NORTH ROUTE,,3,,000066,FFFFFF
18061,DART,827,TI SHUTTLE- MAIN CAMPUS SOUTH ROUTE,,3,,000066,FFFFFF
18062,DART,828,TI SHUTTLE - FOREST LANE CAMPUS,,3,,000066,FFFFFF
18063,DART,829,TI SHUTTLE - SPRING CREEK CAMPUS,,3,,000066,FFFFFF
18064,DART,830,MEDICAL CITY E-SHUTTLE,,3,,000066,FFFFFF
18065,DART,831,BAYLOR NORTH ROUTE,,3,,000066,FFFFFF
18066,DART,832,BAYLOR SOUTH,,3,,000066,FFFFFF
18067,DART,833,BAYLOR BRYAN TOWER,,3,,000066,FFFFFF
18068,DART,840,DOWNTOWN IRVING FLEX,,3,,000066,FFFFFF
18069,DART,841,TELECOM CORRIDOR FLEX,,3,,000066,FFFFFF
18070,DART,842,BUCKNER STATION FLEX,,3,,000066,FFFFFF
18071,DART,843,SOUTH PLANO FLEX,,3,,000066,FFFFFF
18081,DART,870,EAST PLANO FLEX,,3,,000066,FFFFFF
18082,DART,883,UTD/CITYLINE/BUSH STATION,,3,,000066,FFFFFF
18127,DART,884,UTD EXP,,3,,000066,FFFFFF
18083,DART,887,DOWNTOWN ROWLETT STATION  FLEX,,3,,000066,FFFFFF
18098,DART,987,RAPID RIDE,,3,,CC0000,FFFFFF
18111,DART,620,DALLAS STREETCAR,,5,,000066,FFFFFF
18118,DART,BLUE,DART LIGHT RAIL - BLUE LINE,,0,,0275A4,FFFFFF
18119,DART,GREEN,DART LIGHT RAIL - GREEN LINE,,0,,00873F,FFFFFF
18120,DART,ORANGE,DART LIGHT RAIL - ORANGE LINE,,0,,CC6600,FFFFFF
18121,DART,RED,DART LIGHT RAIL - RED LINE,,0,,CC0000,FFFFFF
18122,DART,TRE,TRINITY RAILWAY,,2,,003E7E,FFFFFF
