stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,wheelchair_boarding
21520,21520,POSTAL @ LONE STAR - S - MB,,32.770843,-96.863244,,,0
21521,21521,LONE STAR @ POSTAL - W - FS,,32.768854,-96.863414,,,0
21523,21523,LONE STAR @ TERRE COLONY - W - MB,,32.768889,-96.864455,,,1
21524,21524,LONE STAR @ POSTAL - E - MB,,32.768798,-96.864575,,,1
21525,21525,LONE STAR @ TERRE COLONY - W - NS,,32.770378,-96.86828,,,1
21526,21526,LONE STAR @ COMMERCE - W - NS,,32.772373,-96.871056,,,0
21545,21545,LOVERS @ ROPER - E - NS,,32.851087,-96.830235,,,1
21546,21546,LOVERS @ BRISTOL - W - NS,,32.851348,-96.832604,,,1
21547,21547,LOVERS @ BRISTOL - E - NS,,32.851086,-96.832954,,,0
21548,21548,LOVERS @ TAOS - W - NS,,32.851337,-96.834885,,,0
21549,21549,LOVERS @ TAOS - E - NS,,32.851075,-96.835211,,,0
21550,21550,LOVERS @ CRESTHAVEN - E - NS,,32.851075,-96.836705,,,0
21551,21551,LOVERS @ CRESTHAVEN - W - FS,,32.851322,-96.8368,,,1
21552,21552,LOVERS @ BLUFFVIEW - E - FS,,32.851074,-96.838134,,,1
21553,21553,LOVERS @ BLUFFVIEW - W - NS,,32.851333,-96.83841,,,0
21554,21554,BLUFFVIEW @ CRESTHAVEN - N - NS,,32.852787,-96.837586,,,0
21555,21555,BLUFFVIEW @ CRESTHAVEN - S - NS,,32.853126,-96.837418,,,0
21557,21557,18TH @ H - E - NS,,33.023876,-96.702965,,,1
21560,21560,K @ 15TH - S - NS,,33.02,-96.69925,,,1
21564,21564,PARK @ DECATOR - E - NS,,33.026828,-96.782288,,,0
21569,21569,GREENVILLE @ BRIARFOREST - N - NS,,32.914826,-96.744255,,,0
21570,21570,GREENVILLE @ VANTAGE POINT - S - NS,,32.915287,-96.7444,,,1
21571,21571,GREENVILLE @ AMBERTON - N - MB,,32.918445,-96.742463,,,0
21572,21572,GREENVILLE @ IH 635 - S - MB,,32.918823,-96.742569,,,0
21573,21573,GREENVILLE @ AMBERTON - N - FS,,32.92057,-96.741425,,,1
21574,21574,GREENVILLE @ AMBERTON - S - NS,,32.920738,-96.741608,,,0
21575,21575,CAMPANELLA @ HALLUM - W - NS,,32.918398,-96.755064,,,0
21576,21576,CAMPANELLA @ HALLUM - E - NS,,32.918318,-96.755419,,,0
21577,21577,CAMPANELLA @ OBERLIN - W - NS,,32.918416,-96.756279,,,0
21578,21578,CAMPANELLA @ RIALTO - W - NS,,32.918444,-96.75985,,,0
21580,21580,SCHROEDER @ OBERLIN - S - FS,,32.910159,-96.763031,,,0
21581,21581,SCHROEDER @ FOREST - N - FS,,32.909754,-96.762996,,,0
21582,21582,PARK @ ALMA - W - MB,,33.027095,-96.714051,,,0
21587,21587,PLANO @ F - W - FS,,33.007434,-96.703118,,,0
21588,21588,PLANO @ EXECUTIVE - E - NS,,33.007274,-96.703072,,,0
21600,21600,GREENVILLE @ LAWNVIEW - N - NS,,32.977718,-96.709916,,,0
21601,21601,GREENVILLE @ LAWNVIEW - N - MB,,32.976779,-96.71106,,,0
21612,21612,BERNAL @ TALLYHO - S - FS,,32.774715,-96.911972,,,0
21613,21613,BUTTERNUT @ LAPSLEY - W - NS,,32.77535,-96.910525,,,0
21614,21614,BOYINGTON @ MIDWAY - W - FS,,32.965107,-96.839714,,,0
21615,21615,BOYINGTON @ CHENAULT - W - NS,,32.965107,-96.844498,,,0
21616,21616,CHENAULT @ BOYINGTON - S - NS,,32.965326,-96.844967,,,0
21620,21620,LUNA @ IH 635 - N - FS,,32.909092,-96.921982,,,1
21621,21621,LUNA @ IH 635 - S - FS,,32.906681,-96.920516,,,0
21622,21622,SINGLETON @ FISHTRAP - E - FS,,32.77861,-96.860497,,,1
21623,21623,BERNAL @ WESTMORELAND - W - FS,,32.786811,-96.874352,,,0
21625,21625,BERNAL @ VINEYARD - W - NS,,32.786609,-96.875771,,,0
21626,21626,BERNAL @ VINEYARD - E - NS,,32.786517,-96.87568,,,0
